;pousos;decolagens;movimentacao_total
GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;136722;136735;273457
CONGONHAS - SÃO PAULO - SP - BRASIL;94257;94262;188519
VIRACOPOS - CAMPINAS - SP - BRASIL;59851;59916;119767
TANCREDO NEVES - CONFINS - MG - BRASIL;55894;55899;111793
PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF - BRASIL;54516;54509;109025
AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;48762;48785;97547
GUARARAPES - GILBERTO FREYRE - RECIFE - PE - BRASIL;41143;41092;82235
SANTOS DUMONT - RIO DE JANEIRO - RJ - BRASIL;28583;28620;57203
DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;27653;27645;55298
AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;25953;26162;52115
PINTO MARTINS - FORTALEZA - CE - BRASIL;19717;19739;39456
HERCÍLIO LUZ - FLORIANÓPOLIS - SC - BRASIL;17725;17737;35462
INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO - BELÉM - PA - BRASIL;16623;16642;33265
EDUARDO GOMES - MANAUS - AM - BRASIL;14861;14871;29732
SALGADO FILHO - PORTO ALEGRE - RS - BRASIL;13841;13838;27679
SANTA GENOVEVA/GOIÂNIA - GOIÂNIA - GO - BRASIL;13344;13344;26688
EURICO DE AGUIAR SALLES - VITÓRIA - ES - BRASIL;12467;12419;24886
MARECHAL RONDON - VÁRZEA GRANDE - MT - BRASIL;11411;11465;22876
ZUMBI DOS PALMARES - RIO LARGO - AL - BRASIL;10121;10127;20248
GOVERNADOR ALUIZIO ALVES - SÃO GONÇALO DO AMARANTE - RN - BRASIL;9464;9464;18928
MINISTRO VICTOR KONDER - NAVEGANTES - SC - BRASIL;8309;8310;16619
PORTO SEGURO - PORTO SEGURO - BA - BRASIL;7841;7840;15681
CATARATAS - FOZ DO IGUAÇU - PR - BRASIL;7138;7129;14267
MARECHAL CUNHA MACHADO - SÃO LUÍS - MA - BRASIL;5980;6001;11981
PRESIDENTE CASTRO PINTO - SANTA RITA - PB - BRASIL;5979;5981;11960
CAMPO GRANDE - CAMPO GRANDE - MS - BRASIL;5747;5753;11500
SANTA MARIA - ARACAJU - SE - BRASIL;5259;5255;10514
TEN CEL AVIADOR CÉSAR BOMBONATO - UBERLÂNDIA - MG - BRASIL;5122;5118;10240
LEITE LOPES - RIBEIRÃO PRETO - SP - BRASIL;5095;5080;10175
SENADOR PETRÔNIO PORTELLA - TERESINA - PI - BRASIL;4345;4358;8703
PROFESSOR ERIBERTO MANOEL REINO - SÃO JOSÉ DO RIO PRETO - SP - BRASIL;4018;4013;8031
GOVERNADOR JOSÉ RICHA - LONDRINA - PR - BRASIL;3659;3661;7320
SÍLVIO NAME JÚNIOR - MARINGÁ - PR - BRASIL;3617;3616;7233
FERNANDO DE NORONHA - FERNANDO DE NORONHA - PE - BRASIL;3157;3157;6314
LAURO CARNEIRO DE LOYOLA - JOINVILLE - SC - BRASIL;2846;2844;5690
JACAREPAGUÁ - RIO DE JANEIRO - RJ - BRASIL;2883;2791;5674
BRIGADEIRO LYSIAS RODRIGUES - PALMAS - TO - BRASIL;2707;2709;5416
BAHIA - JORGE AMADO - ILHÉUS - BA - BRASIL;2602;2602;5204
