;pousos;decolagens;movimentacao_total
SERAFIN ENOSS BERTASO - CHAPECÓ - SC - BRASIL;2393;2393;4786
MAESTRO WILSON FONSECA - SANTARÉM - PA - BRASIL;2354;2363;4717
MÁRIO RIBEIRO - MONTES CLAROS - MG - BRASIL;2357;2357;4714
ORLANDO BEZERRA DE MENEZES - JUAZEIRO DO NORTE - CE - BRASIL;2292;2294;4586
SENADOR NILO COELHO - PETROLINA - PE - BRASIL;2212;2218;4430
PRESIDENTE PRUDENTE - PRESIDENTE PRUDENTE - SP - BRASIL;2197;2199;4396
ADALBERTO MENDES DA SILVA - CASCAVEL - PR - BRASIL;2097;2096;4193
ALBERTO ALCOLUMBRE - MACAPÁ - AP - BRASIL;2031;2027;4058
PRESIDENTE JOÃO SUASSUNA - CAMPINA GRANDE - PB - BRASIL;1861;1862;3723
GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA - PORTO VELHO - RO - BRASIL;1833;1827;3660
USIMINAS - SANTANA DO PARAÍSO - MG - BRASIL;1709;1719;3428
GLAUBER DE ANDRADE ROCHA - VITÓRIA DA CONQUISTA - BA - BRASIL;1710;1711;3421
ATLAS BRASIL CANTANHEDE - BOA VISTA - RR - BRASIL;1660;1662;3322
PLÁCIDO DE CASTRO - RIO BRANCO - AC - BRASIL;1654;1654;3308
PRESIDENTE JOÃO BATISTA FIGUEIREDO - SINOP - MT - BRASIL;1616;1618;3234
JOÃO CORREA DA ROCHA - MARABÁ - PA - BRASIL;1590;1598;3188
PREFEITO RENATO MOREIRA - IMPERATRIZ - MA - BRASIL;1557;1587;3144
REGIONAL DA ZONA DA MATA - GOIANÁ - MG - BRASIL;1567;1567;3134
REGIONAL HUGO CANTERGIANI - CAXIAS DO SUL - RS - BRASIL;1544;1543;3087
CANOAS - CANOAS - RS - BRASIL;1331;1332;2663
CARAJÁS - PARAUAPEBAS - PA - BRASIL;1138;1138;2276
LAURO KURTZ - PASSO FUNDO - RS - BRASIL;1053;1052;2105
JERICOACORA - CRUZ - CE - BRASIL;1042;1033;2075
CORONEL ALTINO MACHADO - GOVERNADOR VALADARES - MG - BRASIL;829;831;1660
AEROPORTO ESTADUAL DE JUNDIAÍ - JUNDIAÍ - SP - BRASIL;798;803;1601
MÁRIO DE ALMEIDA FRANCO - UBERABA - MG - BRASIL;777;780;1557
AEROPORTO ESTADUAL DE BAURU-AREALVA / MOUSSA NAKHL TOBIAS - AREALVA - SP - BRASIL;756;745;1501
REGIONAL SUL - JAGUARUNA - SC - BRASIL;740;739;1479
ESTADUAL DARIO GUARITA - ARAÇATUBA - SP - BRASIL;739;737;1476
URUCU - COARI - AM - BRASIL;728;728;1456
PELOTAS - PELOTAS - RS - BRASIL;592;591;1183
DIX-SEPT ROSADO - MOSSORÓ - RN - BRASIL;570;570;1140
BARREIRAS - BARREIRAS - BA - BRASIL;556;555;1111
GENERAL LEITE DE CASTRO - RIO VERDE - GO - BRASIL;536;536;1072
ALTAMIRA - ALTAMIRA - PA - BRASIL;496;496;992
TABATINGA - TABATINGA - AM - BRASIL;461;461;922
SANTO ÂNGELO - SANTO ÂNGELO - RS - BRASIL;457;457;914
SANTA MARIA - SANTA MARIA - RS - BRASIL;452;452;904
FRANK MILOYE MILENKOVICH - MARÍLIA - SP - BRASIL;432;432;864
LORENZO - CAIRU - BA - BRASIL;401;398;799
TEFÉ - TEFÉ - AM - BRASIL;394;394;788
ROMEU ZEMA - ARAXÁ - MG - BRASIL;387;386;773
AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO - PARNAÍBA - PI - BRASIL;375;374;749
COARI - COARI - AM - BRASIL;362;359;721
BONITO - BONITO - MS - BRASIL;358;358;716
PROFESSOR URBANO ERNESTO STUMPF - SÃO JOSÉ DOS CAMPOS - SP - BRASIL;343;344;687
BARTOLOMEU LISANDRO - CAMPOS DOS GOYTACAZES - RJ - BRASIL;337;337;674
CABO FRIO - CABO FRIO - RJ - BRASIL;321;321;642
GUANAMBI - GUANAMBI - BA - BRASIL;318;318;636
JÚLIO BÉLEM - PARINTINS - AM - BRASIL;310;310;620
JUVENAL LOUREIRO CARDOSO - PATO BRANCO - PR - BRASIL;295;294;589
NELSON RODRIGUES GUIMARÃES - CALDAS NOVAS - GO - BRASIL;290;290;580
JUSCELINO KUBITSCHECK - TEÓFILO OTONI - MG - BRASIL;284;282;566
REGIONAL DE SORRISO ADOLINO BEDIN - SORRISO - MT - BRASIL;300;260;560
RUBEM BERTA - URUGUAIANA - RS - BRASIL;262;262;524
TRÊS LAGOAS - TRÊS LAGOAS - MS - BRASIL;257;255;512
PATOS DE MINAS - PATOS DE MINAS - MG - BRASIL;255;254;509
ITAITUBA - ITAITUBA - PA - BRASIL;260;249;509
PILOTO OSVALDO MARQUES DIAS - ALTA FLORESTA - MT - BRASIL;254;255;509
RONDONÓPOLIS - RONDONÓPOLIS - MT - BRASIL;247;247;494
AERÓDROMO MUNICIPAL DE LINHARES - LINHARES - ES - BRASIL;246;246;492
BREVES - BREVES - PA - BRASIL;242;243;485
PONTA PORÃ - PONTA PORÃ - MS - BRASIL;234;234;468
MÁRIO PEREIRA LOPES - SÃO CARLOS - SP - BRASIL;226;220;446
MARICÁ - MARICÁ - RJ - BRASIL;220;219;439
BARRA DO GARÇAS - BARRA DO GARÇAS - MT - BRASIL;212;212;424
BARREIRINHAS - BARREIRINHAS - MA - BRASIL;223;197;420
HOTEL TRANSAMÉRICA(AERODROMO PRIVADO) - UNA - BA - BRASIL;208;208;416
AEROPORTO REGIONAL DO PLANALTO SERRANO - CORREIA PINTO - SC - BRASIL;208;208;416
MAJOR BRIGADEIRO TROMPOWSKY - VARGINHA - MG - BRASIL;207;207;414
ARIPUANÃ - ARIPUANÃ - MT - BRASIL;210;203;413
MANICORÉ - MANICORÉ - AM - BRASIL;205;204;409
CRUZEIRO DO SUL - CRUZEIRO DO SUL - AC - BRASIL;202;202;404
Tancredo Thomas de Faria - GUARAPUAVA - PR - BRASIL;198;198;396
COMANDANTE ANTONIO AMILTON BERALDO - PONTA GROSSA - PR - BRASIL;197;197;394
CORUMBÁ - CORUMBÁ - MS - BRASIL;194;194;388
PEREGRINO FILHO - PATOS - PB - BRASIL;191;191;382
SANTA MAGALHÃES - SERRA TALHADA - PE - BRASIL;190;190;380
GARANHUNS - GARANHUNS - PE - BRASIL;166;166;332
MONTE DOURADO - ALMEIRIM - PA - BRASIL;162;160;322
CARAUARI - CARAUARI - AM - BRASIL;160;160;320
JI-PARANÁ - JI-PARANÁ - RO - BRASIL;159;160;319
AEROPORTO ELIAS BREDER - MANHUAÇU - MG - BRASIL;147;143;290
OSCAR LARANJEIRAS - CARUARU - PE - BRASIL;144;144;288
AERODROMO DE PARAGOMINAS - PARAGOMINAS - PA - BRASIL;143;143;286
TROMBETAS - ORIXIMINÁ - PA - BRASIL;139;146;285
SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO - SÃO RAIMUNDO NONATO - PI - BRASIL;139;141;280
SALINAS - SALINAS - MG - BRASIL;137;136;273
ARARIPINA - ARARIPINA - PE - BRASIL;136;129;265
HORÁCIO DE MATTOS - LENÇÓIS - BA - BRASIL;132;132;264
PEDRO VIEIRA MOREIRA - CAJAZEIRAS - PB - BRASIL;131;131;262
PARACATU - PARACATU - MG - BRASIL;125;125;250
TUCURUÍ - TUCURUÍ - PA - BRASIL;121;122;243
PORTO DE MOZ - PORTO DE MOZ - PA - BRASIL;121;120;241
BARTOLOMEU DE GUSMÃO - ARARAQUARA - SP - BRASIL;120;119;239
LÁBREA - LÁBREA - AM - BRASIL;113;111;224
SALINÓPOLIS - SALINÓPOLIS - PA - BRASIL;111;111;222
ORLANDO DE CARVALHO - UMUARAMA - PR - BRASIL;109;109;218
SÃO GABRIEL DA CACHOEIRA - SÃO GABRIEL DA CACHOEIRA - AM - BRASIL;109;109;218
MAUÉS - MAUÉS - AM - BRASIL;106;106;212
EIRUNEPÉ - EIRUNEPÉ - AM - BRASIL;106;106;212
GUAÍRA - GUAÍRA - PR - BRASIL;105;104;209
BRIGADEIRO CAMARÃO - VILHENA - RO - BRASIL;101;103;204
PAULO AFONSO - PAULO AFONSO - BA - BRASIL;98;98;196
CACOAL - CACOAL - RO - BRASIL;97;95;192
BARRA GRANDE - MARAÚ - BA - BRASIL;95;96;191
JOÃO DURVAL CARNEIRO - FEIRA DE SANTANA - BA - BRASIL;93;93;186
PAMPULHA - CARLOS DRUMMOND DE ANDRADE - BELO HORIZONTE - MG - BRASIL;84;93;177
FAZENDA PONTAL - CAIRU - BA - BRASIL;88;87;175
PRAINHA - APUÍ - AM - BRASIL;88;87;175
SANTA IZABEL DO RIO NEGRO - SANTA ISABEL DO RIO NEGRO - AM - BRASIL;90;82;172
WALFRIDO SAMITO DE ALMEIDA - SÃO BENEDITO - CE - BRASIL;82;82;164
JOSÉ CLETO - UNIÃO DA VITÓRIA - PR - BRASIL;80;81;161
OURILÂNDIA DO NORTE - OURILÂNDIA DO NORTE - PA - BRASIL;80;80;160
DOUTOR LÚCIO LIMA - CRATEÚS - CE - BRASIL;79;79;158
JUÍNA - JUÍNA - MT - BRASIL;79;78;157
VIRGÍLIO TÁVORA - SOBRAL - CE - BRASIL;80;73;153
BAURU/AREALVA (SJTC*) - AREALVA - SP - BRASIL;76;75;151
BRIGADEIRO CABRAL - DIVINÓPOLIS - MG - BRASIL;73;73;146
BORBA - BORBA - AM - BRASIL;73;73;146
IGUATU - IGUATU - CE - BRASIL;76;67;143
TELÊMACO BORBA (SBTL*) - TELÊMACO BORBA - PR - BRASIL;69;69;138
ALMEIRIM - ALMEIRIM - PA - BRASIL;64;63;127
AEROPORTO DE ARACATI - ARACATI - CE - BRASIL;51;51;102
ORIXIMINÁ - ORIXIMINÁ - PA - BRASIL;46;45;91
MONTE ALEGRE - MONTE ALEGRE - PA - BRASIL;45;45;90
BREJO - BREJO - PA - BRASIL;43;37;80
BARCELOS - BARCELOS - AM - BRASIL;40;40;80
COMANDANTE GUSTAVO KRAEMER - BAGÉ - RS - BRASIL;35;35;70
CANELA - CANELA - RS - BRASIL;34;34;68
SANTA CRUZ DO SUL - SANTA CRUZ DO SUL - RS - BRASIL;33;33;66
GAUDÊNCIO MACHADO RAMOS - ALEGRETE - RS - BRASIL;33;33;66
ARAGUAÍNA - ARAGUAÍNA - TO - BRASIL;28;29;57
TEIXEIRA DE FREITAS - TEIXEIRA DE FREITAS - BA - BRASIL;26;26;52
SANTA ROSA - SANTA ROSA - RS - BRASIL;25;25;50
SOROCABA - SOROCABA - SP - BRASIL;18;17;35
AEROCLUBE DE ELDORADO DO SUL - ELDORADO DO SUL - RS - BRASIL;8;9;17
BELÉM NOVO - PORTO ALEGRE - RS - BRASIL;6;6;12
TENENTE LUND PRESETTO - FRANCA - SP - BRASIL;5;5;10
CHAFEI AMSEI (SBBT*) - BARRETOS - SP - BRASIL;5;5;10
ÁGUAS CLARAS - VIAMÃO - RS - BRASIL;5;5;10
JACAREACANGA - JACAREACANGA - PA - BRASIL;4;4;8
MUNICIPAL DE SÃO JOÃO DA BOA VISTA - SÃO JOÃO DA BOA VISTA - SP - BRASIL;3;3;6
KARELI - PARELHAS - RN - BRASIL;2;2;4
CAMPO DE MARTE - SÃO PAULO - SP - BRASIL;2;2;4
COROA DO AVIÃO - IGARASSU - PE - BRASIL;2;2;4
ANGRA DOS REIS - ANGRA DOS REIS - RJ - BRASIL;2;2;4
BAURU - BAURU - SP - BRASIL;1;1;2
ESTADUAL ARTHUR SIQUEIRA - BRAGANÇA PAULISTA - SP - BRASIL;1;1;2
FAZENDA SEQUÓIA - SETUBINHA - MG - BRASIL;1;1;2
PONTA PELADA  - MANAUS - AM - BRASIL;1;1;2
OIAPOQUE - OIAPOQUE - AP - BRASIL;1;1;2
AUGUSTO SEVERO - PARNAMIRIM - RN - BRASIL;0;1;1
