aeroporto;ACIDENTE;INCIDENTE;INCIDENTE GRAVE;total_grave;total_incidente;movimentacao_total;taxa_grave;taxa_incidente;total_ocorrencias;taxa_total;nome_aeroporto
SBRB;1.0;3.0;0.0;1.0;3.0;2908;0.000343878954607978;0.0010316368638239339;4.0;0.001375515818431912;PLÁCIDO DE CASTRO - RIO BRANCO - AC
SBRD;0.0;1.0;0.0;0.0;1.0;569;0.0;0.0017574692442882249;1.0;0.0017574692442882249;RONDONÓPOLIS - RONDONÓPOLIS - MT
SBRF;0.0;23.0;1.0;1.0;23.0;76250;1.3114754098360655e-05;0.0003016393442622951;24.0;0.00031475409836065576;GUARARAPES - GILBERTO FREYRE - RECIFE - PE
SBRJ;0.0;36.0;1.0;1.0;36.0;106709;9.371280772943238e-06;0.0003373661078259566;37.0;0.0003467373885988998;SANTOS DUMONT - RIO DE JANEIRO - RJ
SBRP;0.0;7.0;0.0;0.0;7.0;9811;0.0;0.0007134848639282438;7.0;0.0007134848639282438;LEITE LOPES - RIBEIRÃO PRETO - SP
SBSG;0.0;1.0;0.0;0.0;1.0;16828;0.0;5.942476824340385e-05;1.0;5.942476824340385e-05;GOVERNADOR ALUIZIO ALVES - SÃO GONÇALO DO AMARANTE - RN
SBSI;2.0;3.0;0.0;2.0;3.0;2673;0.0007482229704451926;0.001122334455667789;5.0;0.0018705574261129816;PRESIDENTE JOÃO BATISTA FIGUEIREDO - SINOP - MT
SBSJ;0.0;1.0;1.0;1.0;1.0;240;0.004166666666666667;0.004166666666666667;2.0;0.008333333333333333;PROFESSOR URBANO ERNESTO STUMPF - SÃO JOSÉ DOS CAMPOS - SP
SBSL;0.0;6.0;1.0;1.0;6.0;11840;8.445945945945946e-05;0.0005067567567567568;7.0;0.0005912162162162162;MARECHAL CUNHA MACHADO - SÃO LUÍS - MA
SBSN;0.0;3.0;0.0;0.0;3.0;4138;0.0;0.0007249879168680521;3.0;0.0007249879168680521;MAESTRO WILSON FONSECA - SANTARÉM - PA
SBSP;0.0;64.0;2.0;2.0;64.0;185978;1.07539601458237e-05;0.0003441267246663584;66.0;0.0003548806848121821;CONGONHAS - SÃO PAULO - SP
SBSR;0.0;7.0;0.0;0.0;7.0;8348;0.0;0.0008385241974125539;7.0;0.0008385241974125539;PROFESSOR ERIBERTO MANOEL REINO - SÃO JOSÉ DO RIO PRETO - SP
SBSV;0.0;38.0;1.0;1.0;38.0;55202;1.8115285678055144e-05;0.0006883808557660954;39.0;0.0007064961414441506;DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA
SBTE;1.0;7.0;0.0;1.0;7.0;8828;0.00011327594019030358;0.0007929315813321251;8.0;0.0009062075215224287;SENADOR PETRÔNIO PORTELLA - TERESINA - PI
SBTT;0.0;1.0;0.0;0.0;1.0;788;0.0;0.0012690355329949238;1.0;0.0012690355329949238;TABATINGA - TABATINGA - AM
SBVC;0.0;2.0;0.0;0.0;2.0;3646;0.0;0.0005485463521667581;2.0;0.0005485463521667581;GLAUBER DE ANDRADE ROCHA - VITÓRIA DA CONQUISTA - BA
SBVT;0.0;8.0;1.0;1.0;8.0;27560;3.6284470246734395e-05;0.00029027576197387516;9.0;0.0003265602322206096;EURICO DE AGUIAR SALLES - VITÓRIA - ES
SBZM;0.0;3.0;0.0;0.0;3.0;3059;0.0;0.0009807126511932004;3.0;0.0009807126511932004;REGIONAL DA ZONA DA MATA - GOIANÁ - MG
SDCO;0.0;2.0;1.0;1.0;2.0;22;0.045454545454545456;0.09090909090909091;3.0;0.13636363636363635;SOROCABA - SOROCABA - SP
SDIY;0.0;0.0;1.0;1.0;0.0;528;0.001893939393939394;0.0;1.0;0.001893939393939394;JOÃO DURVAL CARNEIRO - FEIRA DE SANTANA - BA
SNCP;2.0;0.0;0.0;2.0;0.0;538;0.0037174721189591076;0.0;2.0;0.0037174721189591076;AEROPORTO REGIONAL DO PLANALTO SERRANO - CORREIA PINTO - SC
SNVS;0.0;1.0;0.0;0.0;1.0;636;0.0;0.0015723270440251573;1.0;0.0015723270440251573;BREVES - BREVES - PA
SSBL;1.0;0.0;0.0;1.0;0.0;12;0.08333333333333333;0.0;1.0;0.08333333333333333;BLUMENAU - BLUMENAU - SC
SSCN;1.0;0.0;1.0;2.0;0.0;251;0.00796812749003984;0.0;2.0;0.00796812749003984;CANELA - CANELA - RS
SSUM;0.0;1.0;0.0;0.0;1.0;210;0.0;0.004761904761904762;1.0;0.004761904761904762;ORLANDO DE CARVALHO - UMUARAMA - PR
SSUV;1.0;0.0;0.0;1.0;0.0;168;0.005952380952380952;0.0;1.0;0.005952380952380952;JOSÉ CLETO - UNIÃO DA VITÓRIA - PR
SSVL;1.0;0.0;0.0;1.0;0.0;200;0.005;0.0;1.0;0.005;TELÊMACO BORBA (SBTL*) - TELÊMACO BORBA - PR
SWBC;2.0;0.0;0.0;2.0;0.0;126;0.015873015873015872;0.0;2.0;0.015873015873015872;BARCELOS - BARCELOS - AM
SWJN;0.0;1.0;0.0;0.0;1.0;288;0.0;0.003472222222222222;1.0;0.003472222222222222;JUÍNA - JUÍNA - MT
SWLC;0.0;0.0;1.0;1.0;0.0;696;0.0014367816091954023;0.0;1.0;0.0014367816091954023;GENERAL LEITE DE CASTRO - RIO VERDE - GO
SWPI;0.0;1.0;0.0;0.0;1.0;643;0.0;0.0015552099533437014;1.0;0.0015552099533437014;JÚLIO BÉLEM - PARINTINS - AM
SWTS;0.0;0.0;1.0;1.0;0.0;4;0.25;0.0;1.0;0.25;TANGARÁ DA SERRA - TANGARÁ DA SERRA - MT
