aeroporto;ACIDENTE;INCIDENTE;INCIDENTE GRAVE;total_grave;total_incidente;movimentacao_total;taxa_grave;taxa_incidente;total_ocorrencias;taxa_total;nome_aeroporto
SBAE;0.0;1.0;0.0;0.0;1.0;895;0.0;0.0011173184357541898;1.0;0.0011173184357541898;BAURU/AREALVA (SJTC*) - AREALVA - SP
SBAR;0.0;5.0;0.0;0.0;5.0;9146;0.0;0.0005466870763175158;5.0;0.0005466870763175158;SANTA MARIA - ARACAJU - SE
SBAU;0.0;3.0;0.0;0.0;3.0;1655;0.0;0.0018126888217522659;3.0;0.0018126888217522659;ESTADUAL DARIO GUARITA - ARAÇATUBA - SP
SBBE;1.0;27.0;0.0;1.0;27.0;29587;3.3798627775712305e-05;0.0009125629499442322;28.0;0.0009463615777199445;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO - BELÉM - PA
SBBG;0.0;0.0;1.0;1.0;0.0;254;0.003937007874015748;0.0;1.0;0.003937007874015748;COMANDANTE GUSTAVO KRAEMER - BAGÉ - RS
SBBH;0.0;9.0;0.0;0.0;9.0;182;0.0;0.04945054945054945;9.0;0.04945054945054945;PAMPULHA - CARLOS DRUMMOND DE ANDRADE - BELO HORIZONTE - MG
SBBI;0.0;4.0;1.0;1.0;4.0;1;1.0;4.0;5.0;5.0;BACACHERI - CURITIBA - PR
SBBP;1.0;3.0;0.0;1.0;3.0;4;0.25;0.75;4.0;1.0;ESTADUAL ARTHUR SIQUEIRA - BRAGANÇA PAULISTA - SP
SBBR;0.0;47.0;0.0;0.0;47.0;110611;0.0;0.00042491253130339657;47.0;0.00042491253130339657;PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF
SBBV;1.0;0.0;0.0;1.0;0.0;2990;0.00033444816053511704;0.0;1.0;0.00033444816053511704;ATLAS BRASIL CANTANHEDE - BOA VISTA - RR
SBCA;0.0;6.0;0.0;0.0;6.0;3683;0.0;0.001629106706489275;6.0;0.001629106706489275;ADALBERTO MENDES DA SILVA - CASCAVEL - PR
SBCB;0.0;2.0;0.0;0.0;2.0;771;0.0;0.0025940337224383916;2.0;0.0025940337224383916;CABO FRIO - CABO FRIO - RJ
SBCF;0.0;26.0;0.0;0.0;26.0;97069;0.0;0.0002678507041382934;26.0;0.0002678507041382934;TANCREDO NEVES - CONFINS - MG
SBCG;0.0;19.0;1.0;1.0;19.0;11914;8.393486654356219e-05;0.0015947624643276818;20.0;0.0016786973308712439;CAMPO GRANDE - CAMPO GRANDE - MS
SBCH;1.0;4.0;0.0;1.0;4.0;4770;0.00020964360587002095;0.0008385744234800838;5.0;0.0010482180293501049;SERAFIN ENOSS BERTASO - CHAPECÓ - SC
SBCP;0.0;1.0;0.0;0.0;1.0;1480;0.0;0.0006756756756756757;1.0;0.0006756756756756757;BARTOLOMEU LISANDRO - CAMPOS DOS GOYTACAZES - RJ
SBCT;0.0;23.0;0.0;0.0;23.0;53102;0.0;0.00043312869571767544;23.0;0.00043312869571767544;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR
SBCX;0.0;4.0;0.0;0.0;4.0;2332;0.0;0.0017152658662092624;4.0;0.0017152658662092624;REGIONAL HUGO CANTERGIANI - CAXIAS DO SUL - RS
SBCY;1.0;19.0;1.0;2.0;19.0;23247;8.60326063578096e-05;0.0008173097603991913;21.0;0.0009033423667570009;MARECHAL RONDON - VÁRZEA GRANDE - MT
SBDN;0.0;2.0;0.0;0.0;2.0;3856;0.0;0.0005186721991701245;2.0;0.0005186721991701245;PRESIDENTE PRUDENTE - PRESIDENTE PRUDENTE - SP
SBEG;0.0;12.0;0.0;0.0;12.0;27619;0.0;0.00043448350773018574;12.0;0.00043448350773018574;EDUARDO GOMES - MANAUS - AM
SBFI;0.0;9.0;0.0;0.0;9.0;14005;0.0;0.0006426276329882185;9.0;0.0006426276329882185;CATARATAS - FOZ DO IGUAÇU - PR
SBFL;0.0;16.0;1.0;1.0;16.0;30545;3.273858241938124e-05;0.0005238173187100999;17.0;0.0005565559011294811;HERCÍLIO LUZ - FLORIANÓPOLIS - SC
SBFN;0.0;1.0;0.0;0.0;1.0;6110;0.0;0.00016366612111292964;1.0;0.00016366612111292964;FERNANDO DE NORONHA - FERNANDO DE NORONHA - PE
SBFZ;0.0;21.0;0.0;0.0;21.0;39417;0.0;0.0005327650506126798;21.0;0.0005327650506126798;PINTO MARTINS - FORTALEZA - CE
SBGL;0.0;46.0;2.0;2.0;46.0;52202;3.831270832535152e-05;0.0008811922914830849;48.0;0.0009195049998084365;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ
SBGO;1.0;29.0;0.0;1.0;29.0;28120;3.556187766714083e-05;0.001031294452347084;30.0;0.0010668563300142249;SANTA GENOVEVA/GOIÂNIA - GOIÂNIA - GO
SBGR;0.0;71.0;0.0;0.0;71.0;262730;0.0;0.0002702394092794885;71.0;0.0002702394092794885;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP
SBGV;0.0;2.0;0.0;0.0;2.0;1370;0.0;0.00145985401459854;2.0;0.00145985401459854;CORONEL ALTINO MACHADO - GOVERNADOR VALADARES - MG
SBHT;0.0;0.0;1.0;1.0;0.0;898;0.0011135857461024498;0.0;1.0;0.0011135857461024498;ALTAMIRA - ALTAMIRA - PA
SBIL;0.0;1.0;0.0;0.0;1.0;4982;0.0;0.0002007226013649137;1.0;0.0002007226013649137;BAHIA - JORGE AMADO - ILHÉUS - BA
SBIZ;0.0;2.0;0.0;0.0;2.0;2428;0.0;0.0008237232289950577;2.0;0.0008237232289950577;PREFEITO RENATO MOREIRA - IMPERATRIZ - MA
SBJA;0.0;3.0;0.0;0.0;3.0;1966;0.0;0.001525940996948118;3.0;0.001525940996948118;REGIONAL SUL - JAGUARUNA - SC
SBJF;0.0;1.0;0.0;0.0;1.0;2;0.0;0.5;1.0;0.5;FRANCISCO DE ASSIS - JUIZ DE FORA - MG
SBJP;0.0;9.0;0.0;0.0;9.0;10438;0.0;0.0008622341444721211;9.0;0.0008622341444721211;PRESIDENTE CASTRO PINTO - SANTA RITA - PB
SBJR;0.0;4.0;0.0;0.0;4.0;3607;0.0;0.0011089548100914888;4.0;0.0011089548100914888;JACAREPAGUÁ - RIO DE JANEIRO - RJ
SBJU;0.0;4.0;0.0;0.0;4.0;4181;0.0;0.0009567089213106913;4.0;0.0009567089213106913;ORLANDO BEZERRA DE MENEZES - JUAZEIRO DO NORTE - CE
SBJV;0.0;7.0;0.0;0.0;7.0;5422;0.0;0.0012910365178900774;7.0;0.0012910365178900774;LAURO CARNEIRO DE LOYOLA - JOINVILLE - SC
SBKG;0.0;2.0;0.0;0.0;2.0;3131;0.0;0.0006387735547748323;2.0;0.0006387735547748323;PRESIDENTE JOÃO SUASSUNA - CAMPINA GRANDE - PB
SBKP;0.0;73.0;0.0;0.0;73.0;124158;0.0;0.0005879605019410751;73.0;0.0005879605019410751;VIRACOPOS - CAMPINAS - SP
SBLO;0.0;5.0;0.0;0.0;5.0;7522;0.0;0.0006647168306301516;5.0;0.0006647168306301516;GOVERNADOR JOSÉ RICHA - LONDRINA - PR
SBMA;0.0;1.0;0.0;0.0;1.0;3147;0.0;0.00031776294884016526;1.0;0.00031776294884016526;JOÃO CORREA DA ROCHA - MARABÁ - PA
SBMG;0.0;14.0;0.0;0.0;14.0;6572;0.0;0.002130249543517955;14.0;0.002130249543517955;SÍLVIO NAME JÚNIOR - MARINGÁ - PR
SBMK;0.0;2.0;0.0;0.0;2.0;4801;0.0;0.00041657987919183504;2.0;0.00041657987919183504;MÁRIO RIBEIRO - MONTES CLAROS - MG
SBMO;0.0;5.0;0.0;0.0;5.0;17572;0.0;0.0002845435920783064;5.0;0.0002845435920783064;ZUMBI DOS PALMARES - RIO LARGO - AL
SBMQ;0.0;3.0;0.0;0.0;3.0;4456;0.0;0.0006732495511669659;3.0;0.0006732495511669659;ALBERTO ALCOLUMBRE - MACAPÁ - AP
SBNF;0.0;16.0;0.0;0.0;16.0;16896;0.0;0.000946969696969697;16.0;0.000946969696969697;MINISTRO VICTOR KONDER - NAVEGANTES - SC
SBNM;0.0;1.0;0.0;0.0;1.0;1040;0.0;0.0009615384615384616;1.0;0.0009615384615384616;SANTO ÂNGELO - SANTO ÂNGELO - RS
SBPA;0.0;61.0;0.0;0.0;61.0;61059;0.0;0.0009990337214825006;61.0;0.0009990337214825006;SALGADO FILHO - PORTO ALEGRE - RS
SBPF;0.0;3.0;0.0;0.0;3.0;2180;0.0;0.0013761467889908258;3.0;0.0013761467889908258;LAURO KURTZ - PASSO FUNDO - RS
SBPJ;0.0;11.0;0.0;0.0;11.0;5512;0.0;0.0019956458635703917;11.0;0.0019956458635703917;BRIGADEIRO LYSIAS RODRIGUES - PALMAS - TO
SBPL;0.0;1.0;0.0;0.0;1.0;4248;0.0;0.00023540489642184556;1.0;0.00023540489642184556;SENADOR NILO COELHO - PETROLINA - PE
SBPS;0.0;3.0;0.0;0.0;3.0;14979;0.0;0.0002002803925495694;3.0;0.0002002803925495694;PORTO SEGURO - PORTO SEGURO - BA
SBPV;0.0;3.0;0.0;0.0;3.0;5113;0.0;0.000586739683160571;3.0;0.000586739683160571;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA - PORTO VELHO - RO
