aeroporto;ACIDENTE;INCIDENTE;INCIDENTE GRAVE;total_grave;total_incidente;movimentacao_total;taxa_grave;taxa_incidente;total_ocorrencias;taxa_total;nome_aeroporto
SIXE;0.0;0.0;1.0;1.0;0.0;17;0.058823529411764705;0.0;1.0;0.058823529411764705;AEROCLUBE DE ELDORADO DO SUL - ELDORADO DO SUL - RS
SNRU;1.0;0.0;0.0;1.0;0.0;288;0.003472222222222222;0.0;1.0;0.003472222222222222;OSCAR LARANJEIRAS - CARUARU - PE
SNSM;1.0;0.0;0.0;1.0;0.0;222;0.0045045045045045045;0.0;1.0;0.0045045045045045045;SALINÓPOLIS - SALINÓPOLIS - PA
SSBN;0.0;1.0;0.0;0.0;1.0;12;0.0;0.08333333333333333;1.0;0.08333333333333333;BELÉM NOVO - PORTO ALEGRE - RS
SSCN;1.0;1.0;0.0;1.0;1.0;68;0.014705882352941176;0.014705882352941176;2.0;0.029411764705882353;CANELA - CANELA - RS
SSLT;0.0;1.0;0.0;0.0;1.0;66;0.0;0.015151515151515152;1.0;0.015151515151515152;GAUDÊNCIO MACHADO RAMOS - ALEGRETE - RS
SSRS;1.0;0.0;0.0;1.0;0.0;420;0.002380952380952381;0.0;1.0;0.002380952380952381;BARREIRINHAS - BARREIRINHAS - MA
SWBC;0.0;1.0;0.0;0.0;1.0;80;0.0;0.0125;1.0;0.0125;BARCELOS - BARCELOS - AM
SWEI;0.0;1.0;0.0;0.0;1.0;212;0.0;0.0047169811320754715;1.0;0.0047169811320754715;EIRUNEPÉ - EIRUNEPÉ - AM
SWLC;0.0;3.0;0.0;0.0;3.0;1072;0.0;0.002798507462686567;3.0;0.002798507462686567;GENERAL LEITE DE CASTRO - RIO VERDE - GO
SWPI;0.0;1.0;0.0;0.0;1.0;620;0.0;0.0016129032258064516;1.0;0.0016129032258064516;JÚLIO BÉLEM - PARINTINS - AM
SWTP;0.0;1.0;0.0;0.0;1.0;172;0.0;0.005813953488372093;1.0;0.005813953488372093;SANTA IZABEL DO RIO NEGRO - SANTA ISABEL DO RIO NEGRO - AM
